Publisher Name,Publisher Registry Id,Version (with valid data),Reporting-Org (with valid data),Iati-identifier (with valid data),Participating Organisation (with valid data),Title (with valid data),Description (with valid data),Status (with valid data),Activity Date (with valid data),Sector (with valid data),Country or Region (with valid data),Average (with valid data),Version (with any data),Reporting-Org (with any data),Iati-identifier (with any data),Participating Organisation (with any data),Title (with any data),Description (with any data),Status (with any data),Activity Date (with any data),Sector (with any data),Country or Region (with any data),Average (with any data)
CARE Danmark Fonden for Frivillig Ulandsbistand,12921047,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CARE International Afghanistan,ciafg,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CARE international foundation Switzerland in Sudan,cis,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CARE International in Zimbabwe,ciz,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CARE International UK,ciuk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CARE Nederland,carenederland,100,100,100,88,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
CARE Nepal,cnepal,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CARE SOMALIA,csom1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Carers Worldwide,cww,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Caribbean Development Bank (CDB),caribank,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Caritas Denmark,caritas_denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Caritas Finland,caritasfin,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Caritas International (Belgium),cibe,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Caritas Serbia,caritas_serbia,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CARPO - Center for Applied Research in Partnership with the Orient,carpo,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Catholic Agency For Overseas Development (CAFOD),cafod,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Catholic Relief Services,crs,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CDA Collaborative Learning Projects,cda,100,100,100,0,100,100,100,25,100,25,75,100,100,100,0,100,100,100,25,100,25,75
CDAC Network,cdacnetwork,100,100,100,100,100,100,100,100,50,100,95,100,100,100,100,100,100,100,100,100,100,100
CDC Group plc,cdc,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100
CDP Worldwide,cdp,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Cecily's Fund,cecily,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Center for Church-Based Development,cku,100,100,100,100,100,100,100,100,7,100,91,100,100,100,100,100,100,100,100,100,100,100
Center for Civilians in Conflict,civic_admin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Center for Development and Integration,cdi_vn_2021,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Center for International Legal Cooperation (CILC),cilc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Center for International Studies and Cooperation,ceci,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Center for Participation and Development,cpd_2021,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Center for Research on Environment Health and Population Activities (CREHPA),crehpa,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
"Center for Research, Evaluation Resources and Development (CRERD)",crerd_ng,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Centre des Etudes Méditerranéennes et Internationales,cemi,100,100,100,100,100,0,100,100,100,100,90,100,100,100,100,100,0,100,100,100,100,90
Centre For Citizens With Disabilities,ccdnigeria,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Centre for Economic Policy Research,cepr,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Centre for Economic Strategy Ukraine,ces-ua,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Centre for Environment Human Rights and Development,cehrd1,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Centre for Humanitarian Dialogue (HD Centre),hdcentre,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Centre for Indian Knowledge Systems,ciks,100,100,100,0,100,100,100,100,100,0,80,100,100,100,0,100,100,100,100,100,100,90
"Centre for Injury Prevention and Research, Bangladesh (CIPRB)",ciprb,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Centre for Legal Research and Development,clerd-prpi,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Centre for Policy Dialogue,cpd,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Centre for Rights Education and Awareness,creawkenya,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Centre for the Study of Adolescence,csa-kenya,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Centre International de Développement et de Recherche,cidr,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Centre National de Coopération au Développement (CNCD-11.11.11),cncd,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Centre Tricontinental - CETRI,ct-admin,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Centro de Aprendizagem e Capacitação da Sociedade Civil,cesc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Centro de Promocion y Defensa de los Derechos Sexuales y Reproductivos,promsex,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Cesvi,cesvi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CGIAR,cgiar,100,100,100,100,100,100,100,100,100,86,99,100,100,100,100,100,100,100,100,100,100,100
Chama cha Uzazi na Malezi Bora Tanzania (UMATI),umati,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Chance for Childhood,chanceforchildhood,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Charity Projects Ltd (Comic Relief),cprojects,100,100,94,100,100,100,100,100,97,100,99,100,100,100,100,100,100,100,100,100,100,100
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,cdeb-kvhb_admin,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CHEKA SANA TANZANIA,cst,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Chemonics International Inc.,chemonics,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cheshire Services Uganda,csu,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Child-to-Child,ctc,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Child.org,child-dot_org,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ChildFund International,childfund,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
ChildHope UK,childhopeuk,100,100,100,67,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
Children in Crisis,cic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Children in Crossfire,cicni,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CHOICE for Youth and Sexuality,cfyas,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Christian Aid,caid,100,100,100,100,100,92,97,100,90,69,95,100,100,100,100,100,92,100,100,97,69,96
Christian Blind Mission (UK) Ltd.,cbm,100,100,100,86,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Christian Engineers in Development,ced,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Church of England - The Archbishops' Council,coe-abc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CIFAL Scotland,cifal,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CINI,cini_jhk,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CISU,cisu,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
City of London Corporation,col-greenfinance,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CIVICUS World Alliance for Citizen Participation,civicus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CIVIL INITIATIVES FOR DEVELOPMENT AND PEACE INDIA,cividep,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CLASP,clasp,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Clean Clothes Campaign,ccc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ClientEarth,clientearth-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Climate Investment Funds,cif,100,100,100,0,100,100,100,100,0,100,80,100,100,100,100,100,100,100,100,0,100,90
Climate Policy Initiative,cpi,100,100,100,50,100,100,100,100,100,50,90,100,100,100,100,100,100,100,100,100,50,95
Clinton Health Access Initiative,chai,100,100,100,100,100,100,100,100,100,60,96,100,100,100,100,100,100,100,100,100,100,100
CNV Internationaal,nl-kvk-54436222-27541,100,100,100,5,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Coalition for Epidemic Preparedness Innovations,cepi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Coalition of African Lesbians (CAL),cal_2000-pu,100,100,100,20,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
Cobra Collective CIC,cobracollective,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
COC Nederland,cocnl_publisher,100,100,100,7,100,100,100,100,100,100,91,100,100,100,100,100,100,100,100,100,100,100
CODA International,coda,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CODEART ASBL,codeart,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Coffey International Development,coffey,100,100,100,72,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
ColaLife,colalife,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Collectif Stratégies Alimentaires,csa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Collective for Research and Training on Development Action,crtda,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Comité pour l'abolition des dettes illégitimes,cadtm,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
COMMISSION JUSTICE ET PAIX ASBL (cjp),cjp,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commonwealth Local Government Forum,clgf_data,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Commune de Adja-Ouere - Bénin,adja-ouere,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Adjarra - Bénin,adjarra,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Adjohoun - Bénin,adjohoun,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Akpro-Missérété - Bénin,akpro-misserete,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Allada - Bénin,allada,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Aplahoué - Bénin,aplahoue,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Avrankou - Bénin,avrankou,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Bopa - Bénin,bopa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Comè - Bénin,come,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Dangbo - Benin,dangbo,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Ifangni - Bénin,ifangni,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Klouékanmè - Bénin,klouekanme,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Kpomassè - Bénin,kpomasse,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Kétou - Bénin,ketou,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Lalo - Bénin,lalo,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Parakou - Bénin,parakou,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Pobè - Bénin,pobe,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Toffo - Bénin,toffo,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Commune de Toviklin - Bénin,toviklin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Zè - Bénin,ze,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Compassion UK,comp_uk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Concern Worldwide,concern_worldwide,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Concern Worldwide UK,concernuk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Conciliation Resources,cr,100,100,100,67,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
Concordis International,concordis,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Confederation of Danish Industry,di,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Conflict Dynamics International,cdi,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
"Conflict, Stability and Security Fund",cssf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Congodorpen vzw,congodorpen,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Conseil et Appui pour l'Education à la Base Mali,caeb_mali,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Consortium for Street Children,csc,100,100,100,0,100,100,100,100,100,0,80,100,100,100,100,100,100,100,100,100,0,90
Construction Sector Transparency Initiative (CoST),cost_uk,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Coopération par l'Education et la Culture,cec,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cord,cord,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Cordaid,cordaid,100,100,100,98,100,100,100,100,90,100,99,100,100,100,100,100,100,100,100,90,100,99
Corporación de Apoyo a Comunidades Populares,codacop,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Corus International,corus,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Cowater International Inc,cowater,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
Cowater UK Limited,cowateruk,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
COWI,cowi,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Coöperatief Climate Fund Managers U.A.,cfm,100,100,100,36,100,100,100,100,100,100,94,100,100,100,100,100,100,100,100,100,100,100
CRANE,crane,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CREA,creausa-org,100,100,100,70,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL,crb-ai_admin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cross-Government Prosperity Fund,prosperityfund,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Crown Agents Limited,cal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CUAMM Trustees,cuammtrustees,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Cyan International,cyan,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
D. Capital Partners,dcapitalpartners,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DAI Europe,dai-e,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DAI Global Health,healthpartners-international,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Damiaanactie / Action Damien,damien-foundation,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
dance4life,dance4life,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
DanChurchAid,dca,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Danish Family Planning Association,dfpa,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Danish Red Cross,danishrc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Danish Refugee Council,drc,100,100,100,96,100,100,100,100,100,92,99,100,100,100,100,100,100,100,100,100,92,99
Danish Trade Union Development Agency (Ulandssekretariatet),loftf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Danmission,danmission,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Data4Development,d4d,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
David Gordon Memorial Hospital,dgmh,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Dawuro Development Association,dawuro_da,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
DCAF - Geneva Centre for Security Sector Governance,dcaf,100,100,100,100,100,100,100,100,83,67,95,100,100,100,100,100,100,100,100,83,67,95
DeafKidz International,dki1151219,100,100,100,100,100,100,100,100,0,100,90,100,100,100,100,100,100,100,100,100,100,100
DECP,decp,100,100,100,3,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Defence for Children International Netherlands - ECPAT Netherlands,dciecpatnl,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DefendDefenders,defenddefenders,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
Delivery Associates Ltd,delivery_associates,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Deloitte Touche Tohmatsu India LLP,dttillp,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Democracy Reporting International gGmbH,dri,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Democratic Governance Facility,dgf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Denmark - Ministry of Foreign Affairs, Danida",danida,100,100,100,100,72,73,100,100,98,91,93,100,100,100,100,72,73,100,100,98,91,93
Department for International Trade,dit,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Desmond Tutu HIV Foundation,dthfxx12,100,100,100,18,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
Development Aid from People to People (DAPP) Malawi,dapp,100,100,100,75,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
Development Expertise Center,dec_ethiopia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Development Initiatives Poverty Research,dipr,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Development Media International,dmi_admin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Development Organisation of the Rural Poor,dorp-org,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Developments In Literacy Trust UK,diltuk,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Diakonia Sweden,diakonia802017-3517,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Digital Campus,dc,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Direcção Provincial de Saúde de Nampula,dps-nampula,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Disability and Development Partners,ddp,100,100,100,33,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
Disability Rights Advocacy Fund,draf,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Disability Rights Fund,drf,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Disabled People's Organisations Denmark,dpod,100,100,100,100,100,100,100,100,3,96,90,100,100,100,100,100,100,100,100,100,96,100
Disasters Emergency Committee,dec-uk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Discovery Learning Alliance, Inc.",dla,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Djapo,djapo,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DKT - (Pakistan),dkt,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
DKT Ethiopia,dkt_ethiopia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DKT International,dkti,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DKT RD Congo,dkt_drc,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
DNH Mali (Direction Nationale de l’Hydraulique du Mali),pca-gire,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Doctors of the World UK,dotw_uk,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Doctors with Africa CUAMM,cuamm,100,100,100,0,100,100,100,100,100,86,89,100,100,100,100,100,100,100,100,100,86,99
Dorcas Aid International,dai,100,100,100,88,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Down syndrome Foundation Nigeria,dsfn,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Drugs for Neglected Diseases initiative,dndi_transparency,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DUF - The Danish Youth Council,duf,100,100,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100
Dynamo International asbl,dynamo_international,100,100,100,67,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
Défi Belgique Afrique,dba,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dóchas - Irish Association of Non Governmental Development Organisations,dochas,100,100,100,0,100,100,100,100,100,95,90,100,100,100,100,100,100,100,100,100,100,100
Earthworm Foundation,ewf,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
East African Playgrounds,eap,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ECDPM,ecdpm,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Echos Communication,ec,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Eclosio,eclosio,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Economic and Social Fund for Development,esfd,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Economic and Social Research Foundation (ESRF),esrf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ecorys Nederland B.V.,ecorysnl,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Ecorys UK,ecuk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Educate!,educate,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Education Development Trust,eddevtrust,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Education Development Trust,edt_kenya,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
EDUCATION DEVELOPMENT TRUST - RWANDA,edt_rwanda,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
Edukans Foundation,edukans_foundation,100,100,83,100,100,100,100,100,0,100,88,100,100,100,100,100,100,100,100,50,100,95
ELEVATE Hong Kong Holdings Limited,elevatelimited,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Elrha,elrha,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Elton John AIDS Foundation,ejaf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Emissa,emissa,100,100,100,100,100,100,100,100,57,100,96,100,100,100,100,100,100,100,100,100,100,100
Emmanuel International UK,eiuk,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
EMMS International,emms,100,100,100,100,100,100,100,100,94,100,99,100,100,100,100,100,100,100,100,100,100,100
Energy 4 Impact,e4i,100,100,100,50,100,100,100,100,100,50,90,100,100,100,100,100,100,100,100,100,50,95
Energy Saving Trust,energy_saving_trust,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Enfance Tiers Monde Kinderen Derde Wereld,etmkdw,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
EngenderHealth,ehorg,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
